is_there_an_emotion_directed_at_a_brand_or_product,tweet
No emotion toward brand or product,half an hour into #futureoftouch  first mention of ipad by our microsoft speakers #sxsw
Positive emotion,word to your motherboard rt mention you'll want these iphone apps if you're heading to #sxsw today 10 hot ones {link}
No emotion toward brand or product,show me your mustache and monocle  #google #freedrinks #sxsw #hipsters
Negative emotion,but are your phones staying charged my crappy #iphone would never handle #sxsw rt mention mention mention no sleep crazyfest
Positive emotion,mention our social calendar app just rolled out with some special #sxsw functionality for iphone and android =d {link}
Positive emotion,what four south africans who capped off a 35-hour plane trip to #sxsw with a nine-hour wait in the ipad line{link}
No emotion toward brand or product,at the #yourmom ipad design talk #sxsw
Negative emotion,part of journalsim is the support of democracy yes informed populous yes ipad as a focus does not support that #newsapps #sxsw
No emotion toward brand or product,i am curious about #google circle their rumored new take on the next social network have to stay tuned for news from #sxsw
Positive emotion,i am jealous to see people with the ipad 2 take photos with it #iwantacameraonmyipad #sxsw
No emotion toward brand or product,"checking out -- designing ipad interfaces - new navigation schemas at sxsw
{link} #sxsw #uxdes"
No emotion toward brand or product,checking out mention - iphone app for finding a car service #sxsw
No emotion toward brand or product,checking-out designing for android session at sxsw#sxsw #uxamandroid
Positive emotion,checking out google's mention keynote at #sxsw #mkesxsw who is from wisconsin
Positive emotion,checking out ipad 2 mention the #sxsw pop-up store (mention apple store sxsw w/ 17 others) {link}
No emotion toward brand or product,"checking out ipad design headaches
schedulesxswcom/events/event_iap5507 #sxsw #tapworthy"
Negative emotion,"checking out ipad design headaches (2 tablets call in the morning)
{link} #sxsw #tapworthy #fb"
No emotion toward brand or product,checking out ipad design headaches (author josh clark) #tapworthy #sxsw
Positive emotion,it was about pen and ink and #miamibeach for me but for now it's all iphone and #sxsw for the next week
No emotion toward brand or product,checking out poked liked &amp re-tweeted a google love story at sxsw  #sxsw #sxsw15 #sxswic
No emotion toward brand or product,"checking out q&ampa w/ google bing on website ranking at #sxsw
{link} #qagb"
No emotion toward brand or product,checking out q&ampa with google &amp bing on website ranking at #sxsw #qagb
No emotion toward brand or product,checking out q&ampa with google &amp bing on website ranking at #sxsw #qagb #raidsxsw
No emotion toward brand or product,checking out staying alive can indie iphone game development survive at #sxsw #stayingalive
Positive emotion,checking out the apple pop up store looking fwd to checking out the ipad 2 #sxsw #mosaicxm mk {link}
Positive emotion,checking out the new fast society app for iphone  kinda like a group foursquare nice for #sxsw thanks to mention for sharing
No emotion toward brand or product,checking out the pop up apple store at #sxsw
No emotion toward brand or product,z4 come out come out {link} [codes valid 400-75959p 03/11/11] #infektd #sxsw #zlf
Positive emotion,check it out great &amp v effective enviro app by mention  which bin - {link} (iphone 3gs+) #sxsw #sxswi #greatergood
Positive emotion,traffic routing feature of google maps saves 2 years per day in terms of wasted time in traffic #sxsw
No emotion toward brand or product,the line outside the #sxsw apple pop-up store #wasteoftimeatsxsw {link}
Positive emotion,the line outside the pop-up apple store was crazy-long this festival gets more entertaining every day #sxsw
No emotion toward brand or product,another pov from #sxsw &quotthe future of reading online is customization &amp sharing not tablets (yet)&quot | fast company - {link}
Positive emotion,banks innovate or die is a great session &quot250k customers joined bank of america when they were 1st to release an iphone app&quot #sxsw
No emotion toward brand or product,for the love of god i need a macbook pro charger the apple store on congress is closed where in austin can i get one #sxsw
Positive emotion,totally love the copia cocoon messenger ipad bag i picked up for attending the redbox/gilt group/graphicly sesh this morning #sxsw
No emotion toward brand or product,i would love to meet u rt mention i'll be at the austin convention center today w/ my mention fam showing my new iphone game #sxsw
No emotion toward brand or product,let me know also rt mention anyone know if #sxsw apple store still has ipads
No emotion toward brand or product,anyone know an iphone twitter app that will search for hashtags only from those that you follow i don't always want all #sxsw only some
No emotion toward brand or product,anyone know any android devs at #sxsw let me know - there's a startup in need of help
Positive emotion,it only now dawned on me that the ipad 2 launch was timed to coincide with #sxsw to gain maximum #tech #hipster attention #genius #apple
No emotion toward brand or product,anyone know how long the line is at the  #sxsw #apple store on congress
No emotion toward brand or product,anyone know if #sxsw apple store still has ipads
No emotion toward brand or product,anyone know if the #sxsw mention store has crazy lines still today
No emotion toward brand or product,anyone know if the #sxsw apple store sells macbook batteries #sxswi
No emotion toward brand or product,anyone know if the apple store at #sxsw still has ipads or is likely to run out today
No emotion toward brand or product,anyone know if the pop-up apple store on 6th &amp congress is sold out of 3g ipads yet  #sxsw #apple #sxswi
No emotion toward brand or product,strange how little japan news penetrates #sxsw bubble only bar tvs on cnn suggest anything more important than ipad 2 is going on #fb
No emotion toward brand or product,anyone know location of apple pop up store at #sxsw
No emotion toward brand or product,anyone know of iphone developers that will be attending #sxsw  please let me know i have someone that would like to chat with you
No emotion toward brand or product,anyone know the hours of the apple pop-up store in austin #sxsw
Positive emotion,anyone know the hours on the #sxsw apple store kinda' hoping it's open 24 hours
No emotion toward brand or product,wonders how this #sxsw creeps up every year and i still manage to not know about it stop please i'll #google
No emotion toward brand or product,anyone know what the hours are for the apple store at #sxsw
No emotion toward brand or product,anyone know what the ipad situation is at the apple popup store what do they have in stock #sxsw #sxswi
Positive emotion,anyone know what the line is like at the popup apple store #sxsw #ipad2
No emotion toward brand or product,anyone know what the line's like now at the 6th &amp congress temp apple store i hear they're open 'til midnight #ipad2 #sxsw #latenightgeeks
No emotion toward brand or product,anyone know what time apple popup store in austin closes tonite #sxsw #sxtxstate #ipad apple
No emotion toward brand or product,anyone know what time the ipad/apple store opens on 6th and congress #sxsw
No emotion toward brand or product,anyone know where i can buy a waterproof ipad case/pouch in austin #sxsw
Positive emotion,anyone know where i'll be able to find a video of marissa mayer's #sxsw presentation #google
Positive emotion,how to know you're a geek #16162 when you cross the road to take a picture of an apple pop-up store #sxsw  {link}
No emotion toward brand or product,google showcase peak view of new google maps (vector-based maps) at #sxsw #marissagoogle
Positive emotion,google showing off google places with hotpot allows u to post review of place goes in search results maps for friends to see others #sxsw
No emotion toward brand or product,google showing preview of next-gen blogger interface at #sxsw  {link} #cnet
Positive emotion,dennis crowley mention we'd love to work with google they could benefit from working with us too we're doing social well #checkins #sxsw
No emotion toward brand or product,dennis crowley on competitors i think we're starting to compete against the bigger guys facebook google #checkins  #sxsw
No emotion toward brand or product,the linkdown (non-#sxsw edition) ipad art show rise austin world poopin' day social media events more {link}
No emotion toward brand or product,rolling down congress past the apple popup store for #sxsw (mention social shuttle (austin) from social media club) [pic] {link}
No emotion toward brand or product,sitting down in the indie iphone dev session #sxsw let's see what this is like
No emotion toward brand or product,sitting down to accessibility and disabilities and ipad #sxsw
No emotion toward brand or product,you can download a free mention sampler of some of the bands playing at #sxsw here {link}
No emotion toward brand or product,#sxsw - downtown austin apple store congress &amp west 6th street (answered my own question the old fashion way i googled it)
Positive emotion,google knows everything map of people traffic around the world #sxtxstate #sxsw {link}
Positive emotion,setting up a pop up shop mention #sxsw was the smartest move for the ipad imho  | developers matter the most for ipad 2 -  {link}
No emotion toward brand or product,the pop-up apple store at #sxsw  got a shipment of ipad 2's go get em #ipad2
No emotion toward brand or product,rim and hp are going to lease stores next door and put up ûïcoming soonû signs' {link} &ltmention on apple at #sxsw
No emotion toward brand or product,the lineup at the #sxsw apple pop up store  {link}
No emotion toward brand or product,sxsw recap day 4 it's greaaat exploring brand mascots in the digital age - {link} #sxsw #hotsheet
No emotion toward brand or product,just a tip for mention iphone users turn down your screen brightness (way down) to conserve battery power huge difference #sxsw
Positive emotion,setting up for the google #gsdm  #sxsw party it's going to be a-ma-zing check out events at sxsurrogatescom and come on out
Negative emotion,brought up how google maps had rerouted all images of jcpenney to images of macys or trashy restraunts they had no comment #uosxsw #sxsw
No emotion toward brand or product,n3 a slap in the face {link} [codes valid 1200-35959p 03/11/11] #infektd #sxsw #necro
Positive emotion,the #atzip iphone app has been released in time for #sxsw no waiting in line for bar 96  bands if you have the app    {link}
Positive emotion,setting up my ipad2 - very swift and upbeat service this morning at the #sxsw apple pop-up store
No emotion toward brand or product,juicing up my iphone thanks chevy volt boothe #sxsw
Positive emotion,loading up my iphone w/ apps in prep for #sxsw i'm curious to see what rises to the top
No emotion toward brand or product,this group next to me has 6 ppl mention the table everyone is using thier phone/ipad instead of taking to each other #sxsw
Positive emotion,first stop on the #sxsw mention &amp mention hunt austin java get in the spy game now for a chance to win an ipad
No emotion toward brand or product,gearing up to make a splash mention to launch &quotgroupon or living social-type&quot rewards at #sxsw - {link}
No emotion toward brand or product,gearing up to make a splash mention to launch &quotgroupon or living social-type&quot rewards at #sxsw {link}
No emotion toward brand or product,gearing up to make a splash mention to launch &quotgroupon or living social-type&quot rewards at #sxsw {link} via mention
No emotion toward brand or product,n12 sheep to the slaughter {link} [codes valid 1200-35959p 03/12/11] #infektd #sxsw #necro
Positive emotion,#apple pop up store at #sxsw is like dangling red meat in front of lions  irresistible &amp a little unfair  they can't help themselves
No emotion toward brand or product,#apple pop up store at #sxsw selling the new ipad {link}
No emotion toward brand or product,#apple pop up store at #sxsw {link} #tech
No emotion toward brand or product,#apple pop up store making an appearance for #austin and #sxsw {link}
No emotion toward brand or product,#apple pop-up store in #austin for #sxsw and #ipad2 launch mention thought you'd appreciate -) {link} {link}
No emotion toward brand or product,#apple pop-up store selling #ipad2 at #sxsw {link} via mention #tech #retail
No emotion toward brand or product,#gsdm &amp #google the industry party for #sxsw is on and mention is in the house
No emotion toward brand or product,geeks &amp gadgets are today's superstars people lined up for 3 hrs at the sxswpopup shop to buy ipad 2 &amp girls begging 2 hug d crowley #sxsw
No emotion toward brand or product,sugar &amp gold play fitzgerald's in houston tonight on their way to #sxsw free show bodyaches remix ep now {link}
No emotion toward brand or product,droid &amp mac here ) rt mention my #agnerd confession using laptop ipad &amp blackberry to follow #sxsw from afar to see #agchat rock
Positive emotion,my #at&ampt iphone user friends keep borrowing my #verizon iphone to chk their #sxsw schedulestheir networks are ridiculously slow -)
No emotion toward brand or product,#sxsw #tip10 make sure to bring your iphone charger with you you can recharge while you are at a party #cnnsxsw {link}
No emotion toward brand or product,google impact to be available in &quotthe next months&quot sign up at bavcorg/impact #swesxsw #sxsw #yam #bavcid
Positive emotion,got the ipad 2 at apple's pop-up store in downtown austin #sxsw {link}
No emotion toward brand or product,want an ipad 2 here is your chance apple opening up a temporary store for #sxsw {link}  via mention
No emotion toward brand or product,so many ipad 2's at  #sxsw i used to be cool
No emotion toward brand or product,lots of ipad 2s here but no motorola xooms #sxsw #tabletwars
No emotion toward brand or product,lost an ipad at the sterling #sxsw keynote found one and just turned it into lost and found
Positive emotion,coolest ipad case ever  it's an etch-a-sketch #sxsw  {link}
Positive emotion,coolest ipad case ever  it's an etch-a-sketch #sxsw  {link} via mention
Negative emotion,put the ipad down idiot #smcomedyfyeah #sxsw
Positive emotion,getting ipad envy on this flight to #sxsw
Positive emotion,serious ipad envy toting around one's macbook pro + cord will do that to a girl #sxsw (
No emotion toward brand or product,took an ipad from work for #sxsw - now i have to figure out what i'm gonna need on it while i'm there
Positive emotion,hmm the ipad only charged to 81% last night  am i worried about making it through a full day of #sxsw no
Positive emotion,"friday
ipad ordered
midway toured
shaping up to be a great day
almost forgot i am not going to #sxsw 
#toocoolforsxswanyway"
Positive emotion,apple's ipad pop-up shop - {link} #sxsw
Positive emotion,iphone ipad mac oh my #agchat#sxsw
Positive emotion,have an ipad download the broadfeed app for better content delivery {link} #sxsw
No emotion toward brand or product,need an ipad you can get one at the #apple pop-up store at #sxsw {link}
No emotion toward brand or product,#sxsw #japan #sendai #prayforjapan #beforetwitter #ipad #tiesto #hotel #airplane #food
Positive emotion,i'm at a panel about flipboard - one of my fave ipad apps #sxsw
No emotion toward brand or product,mention panel hashtag for your mom has an ipad #yourmom #sxsw #winning
No emotion toward brand or product,my first panel of #sxsw day2 indie iphone development #gaming #iphone
No emotion toward brand or product,saw a company today ready to launch sounds a lot like google circles but with actual personal privacy wwwmycubecom #sxsw
Positive emotion,smart company rt mention it's not a rumor apple opening up a temporary store in downtown austin for #sxsw &ampipad 2 launch bitly/g03mzb
Positive emotion,smart companyapple to set to open pop-up shop in core of #sxsw action  {link} #apple
Positive emotion,final preparations for launch underway join up tomorrow - 03/10 - we've got a special android promotion starting then #sxsw
Positive emotion,no beach parties but apple apps and analytics #geekspringbreak #sxsw style ) ûïmention time to start packing&quot
Positive emotion,google's party at #sxsw is a huge antigov lobbying initiative invoking privacy #puregenius  {link}
Positive emotion,ain't no party like a google party cause a google party got tacos n ice cream #sxsw
No emotion toward brand or product,mention party photobooth #sxsw #donthate {link} mention
Positive emotion,vinh flipboard is a step forward for ipad mags those that get it right will go down this path - not the wired path #sxsw
No emotion toward brand or product,kindda expected &quotmention apparently the line to get an ipad at the  #sxsw store grew by 2 blocks to 5 blocks in the past 30 mins wut&quot
Positive emotion,google expected to release new uber social sharing at #sxsw  circles your thoughts {link}
Negative emotion,just stopped at the pop up apple storelamez  come on apple you can still cut the weight in half #sxsw
No emotion toward brand or product,i have a pen and paper an iphone &amp  ipad at my immediate use for this session on media analytics now just need to not hit the #sxsw wall
No emotion toward brand or product,win an #openbeta6 ipad mention this #sxsw panel {link}  today mention 11 #usguys cc mention  #dgtltribe #sxswbuffalo
No emotion toward brand or product,apple's opening a temporary store in downtown austin to sell ipads during #sxsw {link} via mention
No emotion toward brand or product,the good people at mention are covering the ipad 2 launch live at the apple pop-up store in austin at #sxsw {link}
No emotion toward brand or product,over 300 people in line at apple store in downtown austin #ipad2 #sxsw
Negative emotion,mention peter cashmore on the ipad 2 it's only a minor improvement not worth it unless you have money to burn #sxsw
No emotion toward brand or product,need to upgrade to the iphone 4 asap this taking pics without a flash blows on the 3gs #ehteam #sxsw
No emotion toward brand or product,{link} #iphone #kneejockey #ftw #sxsw
Positive emotion,verizon iphone at #sxsw = 5 bars baby  suck on that at&ampt
Positive emotion,awesome iphone cases for mention here at #sxsw
Positive emotion,awesome iphone charging lockers at the registrant's lounge  #sxsw {link}
Positive emotion,getting iphone juiced by the #sonos team at #sxsw next to apple store in austin gotta love it {link}
Positive emotion,wow my iphone just dropped off the side of the iron cactus balcony and the screen didn't shatter amazing #sxsw #fb
No emotion toward brand or product,another iphone related dream i invented an app that dispenses chili-cheese waffle fries  #sxsw #allcomfortfooddiet
No emotion toward brand or product,verizon iphones fell back an hour instead of springing ahead {link} #sxsw #tech
No emotion toward brand or product,#sxsw + #photography + #android = many live photos  watch this live feed here  {link}
No emotion toward brand or product,#sxsw + #photography + #iphone = many live photos &amp vids  watch this live feed here  {link}
No emotion toward brand or product,lightbox photos wants to be your new #android camera app ( #sxsw) {link}
No emotion toward brand or product,lightbox photos wants to be your new android camera app (sxsw) [techcrunch] {link} #sxsw #android
No emotion toward brand or product,lightbox photos wants to be your new android camera app (sxsw) {link} #android #iphone #newandroid #sxsw
Positive emotion,lightbox photos wants to be your new android camera app {link} #sxsw
No emotion toward brand or product,line of ppl around the block #sxsw party no apple store insane  {link}
Positive emotion,it was a plane full of gogglers and it was google marketer who told a friend he liked community reading newspapers brings  #sxsw
No emotion toward brand or product,woman on plane next to me has a nook blackberry curve android and ipad in her purse #sxsw
No emotion toward brand or product,#sxsw apple doing 'i' business at key music event {link} (via mention
No emotion toward brand or product,random apple fan just bought lunch for everyone in line at #sxsw popup apple store #ipad2
No emotion toward brand or product,random apple fan just bought lunch for everyone in line at #sxsw popup apple store #ipad2 #randomactofkindness  {link}
No emotion toward brand or product,i hope apple had enough foresight to overstock the austin stores with ipad 2's tomorrow #sxsw
No emotion toward brand or product,#tech #apple heads to #sxsw sets up temporary store in austin {link} #technology
No emotion toward brand or product,#tech #apple heads to #sxsw sets up temporary store in austin apple is going to be at sxsw this year {link} #technology
No emotion toward brand or product,while #apple is preparing to release #ipad2 in #japan nuclear power plant heats up 1000 ties as usual - #sxsw heats up for first party nite
Positive emotion,damn  apple knows how to do it like no other  before it even begins apple winsåêsxsw {link} via mention #sxsw
No emotion toward brand or product,#tech #apple opening pop-up store in austin for #sxsw {link} #technology
No emotion toward brand or product,#tech #apple opening pop-up store in austin for #sxsw geekfest [apple] {link} #technology
No emotion toward brand or product,#tech #apple opening pop-up store in austin for #sxsw geekfest [apple] our #brian_lam and the thousands {link} #technology
No emotion toward brand or product,#tech #apple opening pop-up store in austin for #sxsw apple is setting up a pop-up store at west sixth {link} #technology
Positive emotion,smart apple opening pop-up in austin for #sxsw {link}  hope they stock up on extra battery chargers  thx mention
Positive emotion,smart apple opens a pop-up store in austin so people in for #sxsw can get new ipads bitly/i41h53 (via mention mention
Positive emotion,about #apple pop up store in #austin for #sxsw  when you can get peeps to line up at a store before it is finished you have brand power
No emotion toward brand or product,at the apple pop up store on congress ipad 2s everywhere #sxsw #mosaicxm
No emotion toward brand or product,#sxsw -apple pop-up store being set up right now on 6th st  my fellow truck driver is delivering the furniture now
No emotion toward brand or product,at the apple pop-up store in austin #ipad2 #sxsw
Positive emotion,ooooo #apple rumored to be opening a temporary store at #sxsw {link}
No emotion toward brand or product,#tech #apple saves #sxsw set to open pop-up store {link} #technology
Positive emotion,#tech #apple saves #sxsw set to open pop-up store despite having two other austin texas locations {link} #technology
Positive emotion,smart apple sets up 5000-square-foot temporary store at #sxsw to sell new ipads test potential traffic {link} $aapl
No emotion toward brand or product,#sxsw #apple store just sold their last #ipad
Positive emotion,at the apple store downtown apple should really keep this store open permanently convience and location #sxsw
Positive emotion,at the apple store that they literally built in just for the #sxsw conference  mention apple store sxsw {link} #photo
Positive emotion,at the apple store with mention he's buying an ipadi guess this is what geeks do when they're drunk hahaha #sxsw
No emotion toward brand or product,pop up apple store in austin mention the #sxsw - live at {link}
No emotion toward brand or product,pop-up apple store crew has been giving out water to the people wearing street clothes no apple logos until just a few minutes ago  #sxsw
No emotion toward brand or product,pop-up apple store for #sxsw (mention apple store sxsw w/ 86 others) [pic] {link}
Positive emotion,pop-up apple store in austin for 2 weeks during #sxsw - during time ipad2 ships great timing {link}
Negative emotion,pop-up apple store seems to be out of pop-up ipad2s #sxsw
Positive emotion,pop-up apple store still has a line around the block #sxsw
No emotion toward brand or product,pop-up apple store to sell ipad2 at #sxsw the line is insane  {link}
Positive emotion,so the apple store is a huge success already methinks the live music capitol could use one fulltime eh #nudgenudge #appleatxdt #sxsw
No emotion toward brand or product,pop-up apple store lengthy line presumably for ipad 2 #sxsw  {link}
No emotion toward brand or product,rumor apple to set up temporary store for ipad2 release near sxsw convention center in downtown austin {link} #sxsw #ipad2
No emotion toward brand or product,mingly apple tv a day giveaway register to win at #sxsw #winning {link}
Positive emotion,sweet apple's opening a pop-up shop in the scarbrough building on congress for the ipad 2 - {link} /via mention #sxsw
No emotion toward brand or product,#sxsw #applestore  mention apple store sxsw {link}
No emotion toward brand or product,mention plus jackie was on the iphone occasionally at #sxsw  {link} #usguys
No emotion toward brand or product,"next up poked liked &amp re-tweeted a google love story at sxsw
{link} #sxsw #sxsw15 #sxswic"
No emotion toward brand or product,does the pop up apple store in austin still have ipad2 in stock #lazyweb #sxsw
Positive emotion,an apple pop-up store at #sxsw  there goes my impulse control jmp/i41h53
No emotion toward brand or product,if apple pops up a store for an event like sxsw u think at&ampt could at least put up an extra friggen tower #sxsw
No emotion toward brand or product,apple temporarily opening store in austin for #sxsw
No emotion toward brand or product,{link} report apple to open pop-up store at #sxsw
No emotion toward brand or product,google reportedly to unveil new social network called circles likely to launch in may {link} #googlecircles #googleme #sxsw
No emotion toward brand or product,google's possible release of new social network #circles looks to be endorsed by the aclu {link} #sxsw #22sxsw
Positive emotion,new blog post ipad2 giveaway {link} #actors #diet #sxsw
No emotion toward brand or product,can you spot mention iphone #sxsw {link}
No emotion toward brand or product,mention power struggles in the internet industry boil down to &quotwho is the platform &amp who is the app&quot see facebook on ipad #sxsw
No emotion toward brand or product,folks at powerpad gave me free dual 1850 contraption 2 charge my iphone which was fortuitous as my phone was nearly dead #sxsw #ignitesxsw
Positive emotion,planzai app featuring the official british music schedule now on android market {link} #sxsw
Positive emotion,google tipped to launch social network today at #sxsw called circles {link}
No emotion toward brand or product,the only ppl authoritzed to scrape and republish pages r google on bing and bing on google mention #qagb #sxsw
Positive emotion,smart #apple creates pop-up store at #sxsw to peddle the ipad 2 - the #ipad 2 takes over sxsw [video] {link}
No emotion toward brand or product,all the apple employees just ran down the line high giving everyone #sxsw
Negative emotion,clearly apple has another daylight savings time bug with the iphone 4 alarm also need to remember to fix my room's clocks whoops #sxsw
Positive emotion,nice apple made a lots of sells i am sure - rt mention apple popup store at #sxsw {link}
Positive emotion,{link}  apple opens up a temp store #sxsw just because both the events start on the same day good work apple 
Positive emotion,add the apple pop-up shop to your #sxsw mention to-do list -&gt {link}
Negative emotion,why the apple pop-up shop at #sxsw sucks {link}
No emotion toward brand or product,the bad apple shows up late shoots down ideas and leaves early - meeting personality #2 #gamestorming #sxsw
No emotion toward brand or product,busiest apple store in the country #ipad2 #sxsw  {link} (mention apple store sxsw w/ 98 others) {link}
Positive emotion,pop up #apple store at #sxsw = pure genius  international crowd will stock up before they go home
No emotion toward brand or product,special apple store at #sxsw just for ipad line is a block long {link}  {link}
Negative emotion,ughhhapple store austin at the domain rain out of 3g ipads in first 25 minutes right before i got in #ipad2 #sxsw
No emotion toward brand or product,report apple to open pop-up store at #sxsw
Positive emotion,i think apple us winning #sxsw just a sea of silver white and glass
Positive emotion,cunning apple keeping the #ipad2 popup store open late next to #sxsw parties for impulsive late night purchases no regrets here
Positive emotion,i &lt3 apple rt mention apple opened a pop-up store in austin so nerds in town for #sxsw can get new ipads {link}
No emotion toward brand or product,google supposedly announcing new social networking service called &quotcircles&quot today at #sxsw {link}
Positive emotion,ios app approval disrupts the continuous dev flow  android has been the preferred platform to fine tune and experiment #sxsw #groupchatapps
Negative emotion,all lbs apps on my iphone think i am in orlando ))  i guess i have 2 check in at disney vs #sxsw ))
Positive emotion,android apps to survive sxsw 2011 {link} (by mention #sxsw
Positive emotion,i'm so happy this exist going to try and do the whole #sxsw trip w/o a laptop iphone &amp ipad only  {link}
Positive emotion,updated npr music iphone app has song info for all songs 24/7 &amp live video streaming just in time for #sxsw {link}
No emotion toward brand or product,at #sxsw presentation mention demonstrates how you can pause a video on new video player and pick up in same spot on ipad app #tveverywhere
Negative emotion,attended preso on living simply #100tc at #sxswi #sxsw and felt a bit guilty taking notes on a new #ipad
Positive emotion,mention prob going to hit the temp apple store they are setting up near #sxswnice of apple to do that {link}
No emotion toward brand or product,mention probably be even more on the way back since apple is opening a temp extra store just for #sxsw
No emotion toward brand or product,mention probably needed at #sxsw see ipad line here {link}
No emotion toward brand or product,ze frank project walk down google streetview down a street u've walked many times b4 and revelations pop up #sxsw
Positive emotion,#sxsw #sxprotect  {link} is the google doc to get all the relevant links from this panel
No emotion toward brand or product,how to improve website rankings #google #bing advice at #sxsw - {link} get com or pk but be content rich/deep
No emotion toward brand or product,how to improve website rankings advice from #google and #bing at #sxsw | poynter {link}
No emotion toward brand or product,how to improve website rankings advice from google &amp bing at #sxsw {link}
No emotion toward brand or product,how to improve website rankings advice from google &amp bing at #sxsw {link} via mention
No emotion toward brand or product,how to improve website rankings advice from google and bing at #sxsw | poynter {link}
No emotion toward brand or product,#sxsw peeps - you can now checkin with mention latitude to unlock deals {link} built by mention and team
Positive emotion,google maps 50 - guys this will be huge google and marissa mayer #sxsw
Positive emotion,google maps 52 demo renders very quickly 3d buildings and landscapes included in the basic maps #marissagoogle #sxsw
Positive emotion,google maps are so useful how can it get any better #sxsw
No emotion toward brand or product,native apps for ipad etc now have their own accessibility design guidelines wcag still applies #poursite #sxsw
Positive emotion,google maps for mobile 52 looks awesome#sxsw
Positive emotion,google maps has 150 million mobile users that's what marissa mayer claims at  #sxsw - {link}
Positive emotion,google maps has 150 million users 40 percent of google maps users are mobile #sxsw
Positive emotion,google maps mobile is going 3d in the next release looks awesome  #sxsw
No emotion toward brand or product,google maps mobile route around traffic feature reduces fuel consumption and time spent in traffic {link} #sxsw
Positive emotion,google maps mobile route options saves users 2 yrs of time every day #sxsw
Positive emotion,google maps navigation + street view and 3d buildings is awesome #marissagoogle #sxsw
No emotion toward brand or product,google maps now has 150 million users on mobile #sxsw (via mention
Positive emotion,google maps route around traffic is saving users 2 years of time every day mention #sxsw
Positive emotion,google maps street view car sighting #sxsw   {link}
Positive emotion,google maps street view car sighting #sxsw  {link}
No emotion toward brand or product,google maps usage on mobile exceeded desktop usage on xmas and new years day for the first time ûó marissa mayer at #sxsw
Positive emotion,#sxsw peeps who want an ipad2 {link}  brilliant  real
No emotion toward brand or product,#sxsw peeps where is the #ipad store
Positive emotion,google maps/traffic view has saved people 2-years of time #sxsw
No emotion toward brand or product,thanks pepsi max and smart water in line at apple pop up store #sxsw
No emotion toward brand or product,i had to pull out my iphone and look busy to fit in at the sxsw badge line today 400 people shuffling along staring at their phones #sxsw
No emotion toward brand or product,at the popup apple store at #sxsw line is all the way down the block  {link}
No emotion toward brand or product,agencies push google in directions they never would have gone otherwise says creative lab strategy director mention #sxsw
Positive emotion,mention putting a gun to mention head give me your iphone #sxsw {link}
Positive emotion,mention putting an pop up apple store at #sxsw is so smart talk about understanding your demo's needs
No emotion toward brand or product,oops  copy/paste malfunction on the last tweet for mention free #sxsw shuttle  correct link {link}
No emotion toward brand or product,audience q what prototyping tools do you use sketchbooks/sharpie pens photoshop balsamic google docs axsure etc #myprototype #sxsw
Positive emotion,apple is quarter of the music industry and 70% of all digital sales #touchingstories #tbwasxsw #sxsw
Positive emotion,come by aquent booth 1413 at #sxsw to learn about internetonlinewebsitecom meet us &amp enter to win an ipad 2
No emotion toward brand or product,funniest question at google's marissa mayer's talk at #sxsw &quothi marissaumare you guys hiring&quot
No emotion toward brand or product,mention question of the day is &quotgoogle circles&quot the newest social network on the horizon #sxsw
No emotion toward brand or product,#sxsw etiquette don't talk and turn off your keyboard clicking ipad owners
Positive emotion,ipad 2 acquired thanks to mention perserverance 1 vote for husband of the year check #sxsw
Positive emotion,playing &quotpeople are people&quot at the google #sxsw party depeche mode ftw
No emotion toward brand or product,#sxsw - &quotpre and post ipad - the death of flash&quot - {link}
No emotion toward brand or product,#google &quotproduct gatekeeper&quot marissa mayer on the location-based &quotfast fun &amp future&quot {link} (ht mention #sxsw mention #lbs
Negative emotion,apple&quotthe classiest fascist company in america&quot kara swisher #sxsw
No emotion toward brand or product,now on for 'designing ipad interfaces - new navigation schemes' #sxsw
No emotion toward brand or product,david carr (nyt) is in austin giving a drunken interview on cnn he wants an app to transport him around nyc while he sits on his ipad #sxsw
Positive emotion,get it for #sxsw  folks it's #prettycool #chevysxsw rt mention update for iphone retrollect users is available now with more awesome
No emotion toward brand or product,protip for #sxsw  kill your iphone/ipad tasks to save battery
No emotion toward brand or product,follow our #sxsw coverage at {link} on mobile at {link} or with our iphone app http//bitly/guardianapp
No emotion toward brand or product,to all our #sxsw friends don't forget to download the #sxswgo iphone/ipad app {link}
No emotion toward brand or product,thanks for all the info on the apple store closing time heading there after finishing this iron works bbq #sxsw #sxtxstate
Positive emotion,questioner at #sxsw just said &quotthanks and i'm a big fan&quot to google's mention which caused her to giggle and audience to laugh
No emotion toward brand or product,#sxsw gear bag ipad 2 iphone mophie traveling light this year {link}
Positive emotion,i've never been surrounded by so many #iphone users i keep think it's my phone that's ringing #sxsw
Positive emotion,[softlayer blog] softlayer #sxsw server challenge - video - {link} äá have you tried it yet an ipad 2 could be yours
Negative emotion,is twitter broken or is it my ipad can't follow the sxsw hash right now wow that might be my nerdiest tweet yet #tmsxsw #sxsw
No emotion toward brand or product,our sister co mention new #ipad app reviewed mention {link} are curated playlists the future of #music pubs #sxsw
Positive emotion,#spiltbeer consequences of drunk techies #sxsw let's see what android has to offer compared to this
Positive emotion,watch your ears rt mention i'll be at the austin convention center today w/ my mention fam showing my new iphone game #sxsw
Negative emotion,okay fair enough lining up for new tech but not at the cost of #sxsw it is so much better than a new ipad {link}
